OnshoreWindPower,ExchangeNordicCountries,OtherRenewable,HourDK,Biomass,HydroPower,ExchangeGreatBelt,ExchangeContinent,OffshoreWindPower,SolarPower,FossilGas,FossilHardCoal,FossilOil,Waste,TotalLoad
0,0,5,2017-01-01T00:00:00,581,2,0,0,0,0,99,489,13,161,0
0,0,5,2017-01-01T01:00:00,592,2,0,0,0,0,103,414,13,177,0
0,0,5,2017-01-01T02:00:00,594,2,0,0,0,0,104,426,15,177,0
0,0,4,2017-01-01T03:00:00,739,2,0,0,0,0,95,510,12,174,0
0,0,4,2017-01-01T04:00:00,697,2,0,0,0,0,86,491,12,168,0
0,0,5,2017-01-01T05:00:00,682,2,0,0,0,0,89,440,13,165,0
0,0,5,2017-01-01T06:00:00,711,2,0,0,0,0,115,493,14,189,0
0,0,5,2017-01-01T07:00:00,662,2,0,0,0,0,121,433,14,192,0
0,0,6,2017-01-01T08:00:00,609,2,0,0,0,0,130,569,16,191,0
0,0,5.99,2017-01-01T09:00:00,594.96,2,0,0,0,0,145.36,677.97,20.8,191.92,0
0,0,5.92,2017-01-01T10:00:00,610.78,2,0,0,0,0,140.48,661.36,17.9,194.56,0
0,0,5.83,2017-01-01T11:00:00,656.52,2,0,0,0,0,151.32,678.69,19.6,196.04,0
0,0,5.78,2017-01-01T12:00:00,664.36,2,0,0,0,0,161.76,711.58,19.8,199.72,0
0,0,5.74,2017-01-01T13:00:00,697.32,2,0,0,0,0,157.12,722.58,16.6,200.64,0
0,0,5.85,2017-01-01T14:00:00,710.62,2,0,0,0,0,157.92,863.27,15.1,199.24,0
0,0,4.97,2017-01-01T15:00:00,719.92,2,0,0,0,0,169.72,982.95,13.6,196.84,0
0,0,5,2017-01-01T16:00:00,673,2,0,0,0,0,229,1140,14,194,0
0,0,5,2017-01-01T17:00:00,714,2,0,0,0,0,241,1066,15,193,0
0,0,5,2017-01-01T18:00:00,774,2,0,0,0,0,232,1051,14,198,0
0,0,5,2017-01-01T19:00:00,755,2,0,0,0,0,217,982,17,198,0
0,0,4,2017-01-01T20:00:00,747,2,0,0,0,0,197,925,13,198,0
0,0,4,2017-01-01T21:00:00,715,2,0,0,0,0,189,772,12,198,0
0,0,4,2017-01-01T22:00:00,679,2,0,0,0,0,180,736,9,195,0
0,0,4,2017-01-01T23:00:00,689,2,0,0,0,0,179,694,4,188,0
0,0,5,2017-01-02T00:00:00,627,2,0,0,0,0,174,665,5,183,0
0,0,5,2017-01-02T01:00:00,647,2,0,0,0,0,170,596,10,165,0
0,0,5,2017-01-02T02:00:00,722,2,0,0,0,0,179,631,15,174,0
0,0,4,2017-01-02T03:00:00,771,2,0,0,0,0,175,617,15,171,0
0,0,5,2017-01-02T04:00:00,766,2,0,0,0,0,193,611,20,177,0
0,0,5,2017-01-02T05:00:00,824,2,0,0,0,0,212,643,22,178,0
0,0,4,2017-01-02T06:00:00,776,2,0,0,0,0,290,764,14,176,0
0,0,4,2017-01-02T07:00:00,721,2,0,0,0,0,484,884,15,176,0
0,0,6,2017-01-02T08:00:00,849,2,0,0,0,0,539,930,17,178,0
0,0,7.89,2017-01-02T09:00:00,756.56,2,0,0,0,0,542.96,1141.67,17.8,179.12,0
0,0,7.48,2017-01-02T10:00:00,744.28,2,0,0,0,0,547.48,1143.8,16.4,177.56,0
0,0,6.91,2017-01-02T11:00:00,682.88,2,0,0,0,0,550.08,1100.97,19.4,175.76,0
0,0,6.71,2017-01-02T12:00:00,804.32,2,0,0,0,0,547.12,1043.61,17.6,179.64,0
0,0,4.91,2017-01-02T13:00:00,787.9,2,0,0,0,0,540.4,926.49,16.5,177.8,0
0,0,4.44,2017-01-02T14:00:00,716.36,2,0,0,0,0,552.76,965.92,14.8,178.72,0
0,0,4.92,2017-01-02T15:00:00,710.74,2,0,0,0,0,586.84,1155.32,20.7,180.48,0
0,0,5,2017-01-02T16:00:00,755,2,0,0,0,0,578,1160,19,180,0
0,0,5,2017-01-02T17:00:00,866,2,0,0,0,0,587,1245,18,180,0
0,0,5,2017-01-02T18:00:00,850,2,0,0,0,0,578,1150,17,180,0
0,0,5,2017-01-02T19:00:00,760,2,0,0,0,0,527,948,16,178,0
0,0,5,2017-01-02T20:00:00,698,2,0,0,0,0,510,857,15,179,0
0,0,6,2017-01-02T21:00:00,708,2,0,0,0,0,525,854,24,181,0
0,0,7,2017-01-02T22:00:00,741,2,0,0,0,0,407,864,18,175,0
0,0,7,2017-01-02T23:00:00,593,2,0,0,0,0,372,760,16,163,0
0,0,7,2017-01-03T00:00:00,680,2,0,0,0,0,330,645,16,168,0
0,0,6,2017-01-03T01:00:00,722,2,0,0,0,0,334,597,18,176,0
0,0,5,2017-01-03T02:00:00,682,2,0,0,0,0,320,574,14,172,0
0,0,5,2017-01-03T03:00:00,677,2,0,0,0,0,290,577,15,172,0
0,0,5,2017-01-03T04:00:00,615,2,0,0,0,0,290,569,14,156,0
0,0,5,2017-01-03T05:00:00,654,2,0,0,0,0,316,649,15,145,0
0,0,5,2017-01-03T06:00:00,663,2,0,0,0,0,341,720,15,143,0
0,0,6,2017-01-03T07:00:00,640,2,0,0,0,0,356,742,19,144,0
0,0,6,2017-01-03T08:00:00,604,2,0,0,0,0,376,777,23,145,0
0,0,4.99,2017-01-03T09:00:00,657.94,2,0,0,0,0,362.04,801.45,14.7,151.88,0
0,0,4.92,2017-01-03T10:00:00,692.74,1,0,0,0,0,388.84,775.32,18.7,151.48,0
0,0,4.89,2017-01-03T11:00:00,687.62,0,0,0,0,0,374.92,802.23,14.1,153.24,0
0,0,5.86,2017-01-03T12:00:00,768.56,1,0,0,0,0,383.96,862.7,18.8,155.12,0
0,0,6.83,2017-01-03T13:00:00,736.56,2,0,0,0,0,390.96,860.73,15.8,170.12,0
0,0,6.91,2017-01-03T14:00:00,775.78,2,0,0,0,0,367.48,755.37,14.9,155.56,0
