GasDay,KWhFromBiogas,KWhToDenmark,KWhFromNorthSea,KWhToOrFromStorage,KWhToOrFromGermany,KWhToSweden
2021-08-30,16870685,-46731919,1200000,-22723735,68198624,-17989059
2021-08-29,17461314,-39149356,1200000,-36349325,68925624,-15315545
2021-08-28,17804915,-36875343,1200000,-32259048,69234624,-16002478
2021-08-27,18116291,-42461696,1200000,-36763141,71029624,-17942529
2021-08-26,17856264,-48631860,1200000,-24236688,82647624,-18649419
2021-08-25,17309926,-44710415,1200000,-16641026,58562624,-17883136
2021-08-24,17005699,-45995100,1200000,-27644687,72063624,-17769507
2021-08-23,16724373,-50930922,2400000,-19787166,59371356,-17557251
2021-08-22,16992624,-35900502,1800000,-26342003,58219624,-14575308
2021-08-21,17739728,-36082763,1200000,-26280379,59949624,-14417013
2021-08-20,17509126,-47914940,1200000,-22507187,66591624,-17362401
2021-08-19,16987982,-50900867,1200000,-23953779,76615624,-18092388
2021-08-18,17096921,-47468629,1200000,-26503498,75498624,-18354651
2021-08-17,16840331,-51551224,1200000,-18871859,77236624,-19289223
2021-08-16,16166182,-47308065,1200000,-19245125,65256124,-18436146
2021-08-15,16979723,-36548349,1200000,-28125141,60729624,-15012988
2021-08-14,17344065,-32878456,550000,-28380881,60931624,-14743895
2021-08-13,17391738,-46043407,0,-17098678,78431624,-14120480
2021-08-12,17172097,-46799859,1200000,-16143600,66099624,-17526476
2021-08-11,17094321,-50784843,1200000,-20841050,70830624,-18315499
2021-08-10,17054160,-54237558,1200000,-27155271,58059624,-18636434
2021-08-09,16662725,-50914527,1200000,-29233831,71695624,-17650927
2021-08-08,16531714,-28777558,1200000,-32853638,62153624,-16768203
2021-08-07,17269357,-27490918,1200000,-30845393,61987624,-16768203
2021-08-06,17354438,-44459244,1200000,-31274359,60939624,-16768203
2021-08-05,16931352,-36494434,1200000,-32391925,70008624,-16768203
2021-08-04,16737636,-38119709,1200000,-26409229,65559624,-16768203
2021-08-03,16045193,-37710978,1200000,-22201997,58847624,-16768203
2021-08-02,16009835,-32120332,1200000,-27725480,58867624,-16768203
2021-08-01,15978965,-26469007,1200000,-39592772,54471624,-15000960
2021-07-31,16303661,-24629641,1200000,-37521467,60846768,-14349446
2021-07-30,16318988,-28194773,1200000,-27263085,62646768,-15769815
2021-07-29,16389415,-27592414,1200000,-35730627,63414768,-16437448
2021-07-28,16640807,-27689531,1200000,-44744530,56509026,-15751913
2021-07-27,16341927,-28977235,1200000,-38657432,59947704,-14646322
2021-07-26,15666222,-28175898,1200000,-52803465,63588768,-13671232
2021-07-25,15389668,-22214701,1200000,-43213509,59294768,-12821261
2021-07-24,16030993,-23295827,1200000,-44381219,63876768,-13137372
2021-07-23,16214654,-29852968,1200000,-23957276,65380768,-15599340
2021-07-22,16190669,-31886224,1200000,-26456113,59684768,-16217227
2021-07-21,15877327,-31761722,1200000,-38209568,58038768,-15812839
2021-07-20,15368489,-30465008,1200000,-39734889,61722768,-15851239
2021-07-19,15597554,-27041488,1200000,-31787232,62284768,-15324914
2021-07-18,15590019,-23616864,1200000,-47022384,62928768,-12950240
2021-07-17,15997302,-23451177,1200000,-48866677,62527768,-12421635
2021-07-16,16131670,-37564174,1200000,-30025583,59587768,-14421287
2021-07-15,15988437,-38509589,1200000,-17060224,62348768,-15933507
2021-07-14,16366823,-34974342,1200000,-22244061,63084768,-15735999
2021-07-13,16187453,-36107241,1200000,-20292831,68566768,-16212393
2021-07-12,15643239,-37001166,1200000,-28918510,67991768,-15686993
2021-07-11,16171186,-29251787,1200000,-41041473,68326769,-14193570
2021-07-10,16976313,-33443075,1200000,-34977198,65580768,-13231837
2021-07-09,16617668,-35022186,1200000,-50117328,59785768,-14639776
2021-07-08,16109958,-38655718,1200000,-42402433,68444768,-15546023
2021-07-07,14561688,-47719931,1200000,-31151406,80784768,-16771167
2021-07-06,15580348,-42367023,1200000,-12926696,71126768,-16507439
2021-07-05,15560855,-40294281,1200000,-45273748,66368768,-16507632
2021-07-04,15842432,-32856226,1200000,-26786815,59168768,-14675154
2021-07-03,16305605,-33297534,1200000,-30970268,62048768,-12812294
2021-07-02,16192869,-42932564,1200000,-23882345,73674794,-12664852
2021-07-01,15887841,-45795964,1200000,-9108779,67425740,-16118342
2021-06-30,15667688,-45401945,1200000,-23452280,70160280,-16473160
2021-06-29,15120185,-42249726,1200000,-42507202,78563280,-16771124
2021-06-28,15179442,-45040733,1200000,-22875682,70299280,-16352284
2021-06-27,15828842,-37025316,1200000,-30693183,63107280,-14894130
2021-06-26,15993741,-32542661,1200000,-30507064,60861280,-13476130
2021-06-25,16174195,-42250876,1200000,-25636144,64511280,-13208412
2021-06-24,15679556,-50441365,1200000,-24729728,70526280,-15355077
2021-06-23,15654376,-48661543,1200000,-11385401,66889280,-16011778
2021-06-22,14909217,-45967968,1200000,-23006435,64552280,-16461420
2021-06-21,16047014,-45494369,1200000,-13596266,56834280,-16460633
2021-06-20,16384530,-34520076,1200000,-33218992,54421280,-14077638
2021-06-19,16434992,-30871206,1200000,-34932066,55021280,-13135400
2021-06-18,16147354,-38163463,1200000,-31200500,61654280,-14679106
2021-06-17,15770255,-44912816,1200000,-17829868,69724280,-15350607
2021-06-16,15573210,-49333497,1200000,-20516273,72747280,-15981191
2021-06-15,15320821,-54441846,1200000,-373318,70929280,-17159222
2021-06-14,15464538,-48218708,1200000,-33320065,66562280,-16907632
2021-06-13,16006179,-38080603,1200000,-31786195,64333280,-13655767
2021-06-12,16394588,-32106732,1200000,-33878664,64543280,-15239934
2021-06-11,16161046,-39603732,2400000,-28359290,74501280,-17157184
2021-06-10,15495053,-44181658,2040000,-28636692,76277280,-18207290
2021-06-09,15639841,-43706121,2400000,-24493452,67928280,-17255996
2021-06-08,15534345,-46939084,1200000,-37705198,64402280,-17855200
2021-06-07,15090926,-43317558,1200000,-28509977,69689280,-18192983
2021-06-06,15741292,-34187972,0,-23157813,73009280,-14838479
2021-06-05,15851013,-31656132,0,-21634696,73339280,-15032326
2021-06-04,15248369,-59772659,0,-17137562,68629280,-17752711
2021-06-03,15772851,-45982652,0,-31166102,72589280,-18699106
2021-06-02,15931212,-50616616,0,-26256271,88733280,-20439832
2021-06-01,15859771,-51256569,0,-27618257,84037280,-17944192
2021-05-31,15519734,-52268051,900000,-10596200,68997680,-19355661
2021-05-30,16251611,-39442756,1440000,-44334309,62169680,-16847354
2021-05-29,16439167,-42408669,1440000,-27352278,62710680,-15610103
2021-05-28,16494725,-57990242,1440000,-22287898,61327680,-18999244
2021-05-27,15860295,-68385571,1680000,26253661,74327680,-20360309
2021-05-26,15280043,-63155788,1680000,-6569320,67095680,-20646522
2021-05-25,15417812,-69725719,960000,1714647,67582680,-20508313
2021-05-24,15903729,-52595773,960000,-16091200,72286680,-18790047
2021-05-23,16207390,-52815401,960000,-13750467,61027680,-16381738
2021-05-22,16339585,-48003310,960000,-11719472,60262680,-14561143
2021-05-21,16445947,-53965848,960000,-9892026,65213680,-17045473
2021-05-20,16794859,-64473963,960000,-37583277,58355680,-19308387
2021-05-19,15463130,-61461542,960000,-12672639,75905680,-18588211
2021-05-18,15128837,-68922977,1680000,9372866,75979680,-18940743
2021-05-17,14710707,-62177241,1680000,1566545,74397680,-18829444
2021-05-16,15599038,-57092982,1680000,-8555863,64344680,-16482277
2021-05-15,15814850,-55617105,1680000,-7803228,62026680,-15961221
2021-05-14,16405578,-56655173,1680000,-24462650,61697630,-15656967
2021-05-13,16710642,-54219632,1200000,-2378582,68819680,-15895163
2021-05-12,16536793,-72497972,1200000,7911890,67405680,-17472059
2021-05-11,15891490,-65371308,960000,-11262110,74149680,-18173913
2021-05-10,15594907,-56191646,1440000,-34377585,74428630,-18907082
2021-05-09,15762539,-47782925,1440000,-33411099,73907680,-16123817
2021-05-08,16028416,-55143346,1440000,-10946341,74603680,-17263414
2021-05-07,15961463,-85384890,1920000,42524498,77992680,-21152258
2021-05-06,15722108,-90183593,960000,33727887,66481680,-25208159
2021-05-05,15536924,-83411691,960000,18861833,72426680,-24290776
2021-05-04,15240662,-77553306,960000,15507640,65491680,-23643781
2021-05-03,15255745,-76096050,960000,4576150,66003684,-23188049
2021-05-02,15878971,-63724052,960000,-2988501,65779680,-19403277
2021-05-01,16107183,-59581234,960000,1544843,66259680,-18963109
2021-04-30,16246903,-74482494,1200000,17722672,66391408,-22691320
2021-04-29,16230135,-81389597,600000,6163063,81465408,-23813646
2021-04-28,15915783,-81581669,400008,14737352,80501408,-22676960
2021-04-27,16031902,-82008885,480000,-79622,72134528,-22520533
2021-04-26,15824674,-87469689,960000,24605336,66074408,-22953936
2021-04-25,16283739,-65847951,980000,-6014274,75799008,-20323728
2021-04-24,16404537,-66946261,1080000,-8050334,75895008,-15926612
2021-04-23,16536745,-66862367,1200000,22706041,59465016,-21395434
2021-04-22,16126349,-76473954,1200000,9837103,49059008,-21359149
2021-04-21,15669255,-68023600,1165000,-15202147,67299008,-20884510
2021-04-20,15588968,-67915616,960000,-2965115,64373240,-19713073
2021-04-19,15555623,-66939637,1020000,7446657,75133008,-19515708
2021-04-18,16006095,-60609679,1200000,-5142182,72243008,-17006765
2021-04-17,15956735,-66183140,1200000,11357513,70385008,-18453732
2021-04-16,16006380,-81225487,1680000,42203876,55691008,-20467048
2021-04-15,16025392,-92099692,2400000,33340045,66887008,-24577512
2021-04-14,15500485,-104829759,2400000,36228273,73417008,-28457484
2021-04-13,15322311,-97796074,2400000,48699422,58353008,-29128450
2021-04-12,15138842,-92296932,2400000,34659495,61321008,-27316968
2021-04-11,15776462,-88957295,2400000,14988494,75357008,-26495264
2021-04-10,15877484,-82650542,2400000,2225776,70813008,-20473228
2021-04-09,15813372,-85569952,2400000,24553079,74315008,-21181993
