GasDay,CapacityVolumeTechnical,CapacityVolumeReserved,CapacityVolumeReservedTSO,CapacityVolumeAvailable,CapacityInjectionTechnical,CapacityInjectionReserved,CapacityInjectionReservedTSO,CapacityInjectionAvailable,CapacityWithdrawalTechnical,CapacityWithdrawalReserved,CapacityWithdrawalReservedTSO,CapacityWithdrawalAvailable
2037-04-30T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-29T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-28T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-27T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-26T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-25T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-24T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-23T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-22T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-21T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-20T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-19T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-18T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-17T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-16T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-15T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-14T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-13T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-12T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-11T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-10T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-09T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-08T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-07T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-06T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-05T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-04T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-03T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-02T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-04-01T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-31T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-30T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-29T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-28T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-27T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-26T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-25T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-24T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-23T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-22T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-21T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-20T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-19T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-18T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-17T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-16T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-15T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-14T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-13T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-12T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-11T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-10T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-09T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-08T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-07T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-06T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-05T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-04T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-03T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-02T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-03-01T00:00:00,9439000,0,0,9439000,3780,0,0,3780,6750,0,0,6750
2037-02-28T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-27T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-26T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-25T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-24T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-23T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-22T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-21T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-20T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-19T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-18T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-17T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-16T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-15T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-14T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-13T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-12T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-11T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-10T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-09T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-08T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-07T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-06T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-05T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-04T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-03T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-02T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-02-01T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-31T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-30T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-29T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-28T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-27T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-26T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-25T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-24T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-23T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-22T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-21T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-20T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-19T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-18T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-17T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-16T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-15T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-14T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-13T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-12T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-11T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-10T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-09T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-08T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-07T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-06T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-05T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-04T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-03T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-02T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2037-01-01T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-31T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-30T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-29T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-28T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-27T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-26T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-25T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-24T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-23T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-22T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-21T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-20T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-19T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-18T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
2036-12-17T00:00:00,9439000,0,0,9439000,3780,0,0,3780,7500,0,0,7500
